prbiotic_ID,ICD_ID,Weight
11860,4501,1
11860,4505,1
11860,4509,1
11860,4513,1
11860,4518,1
11860,4526,1
11860,4533,1
11860,4540,1
11860,4549,1
11860,4558,1
11860,4564,1
11860,4572,1
11860,4579,1
11860,4585,1
11860,4596,1
11860,4605,1
11860,4614,1
11860,4622,1
11860,4627,1
11860,4628,1
11860,4631,1
11860,4638,1
11860,4649,1
11860,4653,1
11860,4659,1
11860,4667,1
11860,4675,1
11860,4686,1
11860,4687,1
11860,4697,1
11860,4702,1
11860,4710,1
11860,4719,1
11860,4726,1
11860,4733,1
11860,4734,1
11860,4742,1
11860,4751,1
11860,5804,1
11860,5815,1
11860,5826,1
11860,5837,1
11860,5848,1
11860,5859,1
11860,5870,1
11860,5881,1
11860,5892,1
11860,5893,1
11860,5894,1
11860,5899,1
11860,5900,1
11860,5911,1
11860,5917,1
11860,5922,1
11860,5923,1
11860,5929,1
11860,5937,1
11860,5938,1
11860,5943,1
11860,5948,1
11860,5949,1
11860,5950,1
11860,5955,1
11860,5959,1
11860,5963,1
11860,5968,1
11860,5969,1
11860,5977,1
11860,5983,1
11860,5990,1
11860,5991,1
11860,5996,1
11860,6001,1
11860,6009,1
11860,6010,1
11860,6016,1
11860,6021,1
11860,6029,1
11860,6035,1
11860,6041,1
11860,6046,1
11860,6051,1
11860,6056,1
11860,6066,1
11860,6075,1
11860,6082,1
11860,6088,1
11860,6089,1
11860,6096,1
11860,6100,1
11860,6108,1
11860,6111,1
11860,6112,1
11860,6118,1
11860,6127,1
11860,6130,1
11860,6134,1
11860,6138,1
11860,6139,1
11860,6149,1
11860,6150,1
11860,6155,1
11860,6164,1
11860,6167,1
11860,6177,1
11860,6187,1
11860,6196,1
11860,6207,1
11860,6214,1
11860,6224,1
11860,6225,1
11860,6229,1
11860,6237,1
11860,6247,1
11860,6257,1
11860,6264,1
11860,6272,1
11860,6277,1
11860,6287,1
11860,6293,1
11860,6294,1
11860,6300,1
11860,6307,1
11860,891,1
11860,901,1
11860,902,1
11860,910,1
11860,914,1
11860,919,1
11860,925,1
11860,931,1
11860,932,1
11860,936,1
11860,941,1
11860,949,1
11860,956,1
11860,957,1
11860,963,1
11860,967,1
11860,973,1
11860,983,1
11860,990,1
11860,1001,1
11860,1002,1
11860,1003,1
11860,1008,1
11860,1017,1
11860,1018,1
11860,1023,1
11860,1032,1
11860,1036,1
11860,1039,1
11860,1046,1
11860,1053,1
11860,1054,1
11860,1061,1
11860,1062,1
11860,1069,1
11860,1072,1
11860,1079,1
11860,1086,1
11860,1108,1
11860,1119,1
11860,1125,1
11860,1134,1
11860,1144,1
11860,1149,1
11860,1160,1
11860,1170,1
11860,1176,1
11860,1177,1
11860,1182,1
11860,1189,1
11860,1190,1
11860,1194,1
11860,1203,1
11860,1204,1
11860,1210,1
11860,1211,1
11860,1215,1
11860,1222,1
11860,1226,1
11860,1230,1
11860,1234,1
11860,1245,1
11860,1250,1
11860,1260,1
11860,1264,1
11860,1275,1
11860,1283,1
11860,1284,1
11860,1288,1
11860,1305,1
11860,1313,1
11860,1322,1
11860,1332,1
11860,1343,1
11860,1347,1
11860,1355,1
11860,1365,1
11860,1373,1
11860,1382,1
11860,1387,1
11860,1395,1
11860,1402,1
11860,1407,1
11860,1417,1
11860,1428,1
11860,1434,1
11860,1441,1
11860,1445,1
11860,4828,1
11860,8159,1
11860,7117,1
11860,6977,1
11860,0,1
11860,4,1
11860,10,1
11860,16,1
11860,23,1
11860,34,1
11860,43,1
11860,54,1
11860,62,1
11860,69,1
11860,70,1
11860,78,1
11860,83,1
11860,93,1
11860,99,1
11860,107,1
11860,115,1
11860,122,1
11860,129,1
11860,135,1
11860,139,1
11860,144,1
11860,148,1
11860,154,1
11860,163,1
11860,169,1
11860,175,1
11860,176,1
11860,177,1
11860,178,1
11860,185,1
11860,190,1
11860,195,1
11860,204,1
11860,210,1
11860,219,1
11860,226,1
11860,231,1
11860,236,1
11860,237,1
11860,245,1
11860,252,1
11860,262,1
11860,270,1
11860,278,1
11860,281,1
11860,291,1
11860,292,1
11860,299,1
11860,300,1
11860,301,1
11860,305,1
11860,309,1
11860,312,1
11860,313,1
11860,314,1
11860,325,1
11860,331,1
11860,335,1
11860,341,1
11860,342,1
11860,346,1
11860,350,1
11860,356,1
11860,364,1
11860,365,1
11860,370,1
11860,377,1
11860,383,1
11860,387,1
11860,397,1
11860,402,1
11860,407,1
11860,408,1
11860,414,1
11860,418,1
11860,419,1
11860,420,1
11860,421,1
11860,430,1
11860,435,1
11860,436,1
11860,440,1
11860,446,1
11860,454,1
11860,6977,1
11860,4017,1
11860,4571,1
11860,4015,1
11860,4017,1
11860,3988,1
11860,3996,1
11860,4000,1
11860,4734,1
11860,4565,1
11860,4558,1
11860,4564,1
11860,5804,1
11860,5815,1
11860,5826,1
11860,5837,1
11860,5848,1
11860,5859,1
11860,5870,1
11860,5881,1
11860,5892,1
11860,5893,1
11860,5894,1
11860,5899,1
11860,5900,1
11860,5911,1
11860,5917,1
11860,5922,1
11860,5923,1
11860,5929,1
11860,5937,1
11860,5938,1
